title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
Tihatar,Amotik,"Amotik 013",NLCK42233232,tidal,303503145,422s,,,http://www.tidal.com/track/303503145
"At The Edge",Kameliia,VII,NLCK42225506,tidal,272967066,313s,,,http://www.tidal.com/track/272967066
Birlik,Cleric,"REBUILD - Earthquake Fundraiser Compilation",GBKQU2334817,tidal,288721143,323s,,,http://www.tidal.com/track/288721143
"Pink Bull (Marcal Remix)","Drhamer, Marcal","Black Mirror",NLCK42219495,tidal,249802785,284s,,,http://www.tidal.com/track/249802785
"Liquid Sky",Kameliia,VII,NLCK42225508,tidal,272967068,291s,,,http://www.tidal.com/track/272967068
Basilisks,"Michal Jablonski, VSK",IIXXII,NLCK42232286,tidal,299657608,322s,,,http://www.tidal.com/track/299657608
"M25 (AgainstMe Remix)",Tsibo,"Kinetic EP",DEKB72082325,tidal,294757776,297s,,,http://www.tidal.com/track/294757776
"Same Idea Different Result","Falling Echoes","Same Idea Different Result",DEH742304106,tidal,279439959,372s,,,http://www.tidal.com/track/279439959
"Het Hoog","Thanos Hana","Pleistocene Future 3",NLCK42227643,tidal,279876944,308s,,,http://www.tidal.com/track/279876944
Transition,Invexis,Odyssey,DEH742228368,tidal,265000052,334s,,,http://www.tidal.com/track/265000052
"Rough Surfaces pt.2","Raffaele Attanasio","Rough Surfaces EP",NLCK42229101,tidal,287197649,260s,,,http://www.tidal.com/track/287197649
Tucan,Isaiah,Infectious,NLCK42232011,tidal,298554378,328s,,,http://www.tidal.com/track/298554378
"Subterrane (Original Mix)",Sigvard,"Impasse EP",NLCK42230427,tidal,292303585,309s,,,http://www.tidal.com/track/292303585
"Russian Roulette","Kalter Ende","Bareknuckle Boxing (Volume 2)",NLCK41086385,tidal,182508323,356s,,,http://www.tidal.com/track/182508323
Split,Kuss,Wires,FR9W12129809,tidal,198809704,332s,,,http://www.tidal.com/track/198809704
"Disturbing Behavior","SHDW, Obscure Shape","Basic Instinct",DEH742308930,tidal,288746380,274s,,,http://www.tidal.com/track/288746380
Eraser,"SHDW, Obscure Shape","Basic Instinct",DEH742308928,tidal,288746378,302s,,,http://www.tidal.com/track/288746378
Rushhour,"Nobel Cortex","Sonic Pulse",DKD5M2300101,tidal,291940333,308s,,,http://www.tidal.com/track/291940333
"Shadow Work","Phase Line","Sonic Pulse",DKD5M2300105,tidal,291940337,348s,,,http://www.tidal.com/track/291940337
LB1,Tensal,L,NLCK42222539,tidal,262394244,436s,,,http://www.tidal.com/track/262394244
"Kyrylivska 41",Arkan,"The Long Run",NLCK42219011,tidal,247222811,368s,,,http://www.tidal.com/track/247222811
LA1,Tensal,L,NLCK42222537,tidal,262394242,331s,,,http://www.tidal.com/track/262394242
"Frozen Blood",NKX,"Ministry of Truth",DEH742316793,tidal,304684530,380s,,,http://www.tidal.com/track/304684530
"Time Of Time",Exos,"Time To Time",DECY52200244,tidal,271248903,343s,,,http://www.tidal.com/track/271248903
"On Craft (SFT Mix)","Henning Baer","In Pursuit of Myself",USM2Q0800703,tidal,47691980,391s,,,http://www.tidal.com/track/47691980
"The Way U Like It (Original Mix)","Frankie Bones","The Way U Like It EP",BEZ452208565,tidal,246055276,381s,,,http://www.tidal.com/track/246055276
"Lead Mysteries",Hadone,"Stone Techno Series - Tetragonal EP",NLCK41094438,tidal,206746329,386s,,,http://www.tidal.com/track/206746329
"Brother (Reeko Remix) (Mixed)",Shlomo,"Mixmag Presents Charlotte de Witte (DJ Mix)",QMFME2133213,tidal,190956869,286s,,,http://www.tidal.com/track/190956869
FML2,"Future Meta Laser","Future Meta Laser 001",NLCK41088202,tidal,185324216,267s,,,http://www.tidal.com/track/185324216
"Alte Seele (Vril & Marcel Dettmann Bass Mix)",Vril,"Alte Seele",NLM792000152,tidal,166826651,309s,,,http://www.tidal.com/track/166826651
"I Miss Strobes",Hadone,"Taapion 017",NLCK41092267,tidal,198051457,454s,,,http://www.tidal.com/track/198051457
"Eternity's Edge","Dustin Zahn","Modern Penetration",NLCK41053822,tidal,109570132,376s,,,http://www.tidal.com/track/109570132
"Transition Six","Johannes Heil","Transitions Volume 2",DEDL81300817,tidal,271249681,440s,,,http://www.tidal.com/track/271249681
"Absolute Motion","Jeroen Search, Pushmann","Phases of Appearance",NLMH62300090,tidal,315617566,311s,,,http://www.tidal.com/track/315617566
"Ten Foot Radius","Jeroen Search","Shadow Dimensions",BEN582300479,tidal,310262662,276s,,,http://www.tidal.com/track/310262662
"Transmission (Jeroen Search Remix)","Deluka, Jeroen Search",Transmission,NLCK42234565,tidal,308488804,350s,,,http://www.tidal.com/track/308488804
"Six Requests","Jeroen Search","Shadow Dimensions",BEN582300478,tidal,310262661,339s,,,http://www.tidal.com/track/310262661
"Avoid Capture","Jeroen Search, Pushmann","Pushmann presents: THE LAST EPISODE",GBKQU2342167,tidal,298754949,363s,,,http://www.tidal.com/track/298754949
"Helix (Original)","Linear Search","Line Integral",NLCK41070968,tidal,153827154,399s,,,http://www.tidal.com/track/153827154
Transe,Cérémonie,"Transe EP",NLCK41066503,tidal,143520713,376s,,,http://www.tidal.com/track/143520713
Canidae,"Franco Rossi",Canidae,DEH742321795,tidal,314435017,331s,,,http://www.tidal.com/track/314435017
Raid,"Phil Berg",Raid,NLCK42236257,tidal,314807705,311s,,,http://www.tidal.com/track/314807705
Hunt,Altinbas,Reshape,NLCK42235921,tidal,313842834,384s,,,http://www.tidal.com/track/313842834
"And Suddenly, I Was Reborn",Quelza,"Les Somnolentes EP",NLCK42235502,tidal,312030942,450s,,,http://www.tidal.com/track/312030942
Silk,Recondite,Silk,USA2P1906934,tidal,103011328,357s,,,http://www.tidal.com/track/103011328
Mutant,Recondite,Taum,DECY52102611,tidal,209186785,242s,,,http://www.tidal.com/track/209186785
"Reboot (Recondite´s Isolation Remix)",Solee,Reboot,DEH742156249,tidal,175213414,377s,,,http://www.tidal.com/track/175213414
Secluded,Recondite,"Bird EP",DEEC33500210,tidal,328949432,398s,,,http://www.tidal.com/track/328949432
"Sweet Pain",Recondite,Taum,DECY52102608,tidal,209186782,211s,,,http://www.tidal.com/track/209186782
